2022-01-29 16:01:37,688 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@80d5b30: startup date [Sat Jan 29 16:01:37 CET 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-01-29 16:01:38,358 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\alexa\Downloads\apache-activemq-5.16.3-bin\apache-activemq-5.16.3\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-01-29 16:01:38,439 | INFO  | PListStore:[C:\Users\alexa\Downloads\apache-activemq-5.16.3-bin\apache-activemq-5.16.3\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-01-29 16:01:38,573 | INFO  | Apache ActiveMQ 5.16.3 (localhost, ID:DESKTOP-331SU5Q-62652-1643468498449-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-01-29 16:01:38,586 | INFO  | Listening for connections at: tcp://DESKTOP-331SU5Q:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-01-29 16:01:38,587 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-01-29 16:01:38,590 | INFO  | Listening for connections at: amqp://DESKTOP-331SU5Q:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-01-29 16:01:38,591 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-01-29 16:01:38,595 | INFO  | Listening for connections at: stomp://DESKTOP-331SU5Q:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-01-29 16:01:38,596 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-01-29 16:01:38,599 | INFO  | Listening for connections at: mqtt://DESKTOP-331SU5Q:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-01-29 16:01:38,600 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-01-29 16:01:38,605 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-01-29 16:01:38,662 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-01-29 16:01:38,766 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@757f9cf5{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2022-01-29 16:01:38,820 | INFO  | Listening for connections at ws://DESKTOP-331SU5Q:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2022-01-29 16:01:38,820 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-01-29 16:01:38,822 | INFO  | Apache ActiveMQ 5.16.3 (localhost, ID:DESKTOP-331SU5Q-62652-1643468498449-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-01-29 16:01:38,823 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-01-29 16:01:39,530 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-01-29 16:01:39,530 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-02-10 18:24:24,117 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@75331054: startup date [Thu Feb 10 18:24:24 CET 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-02-10 18:24:25,066 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\alexa\Downloads\apache-activemq-5.16.3-bin\apache-activemq-5.16.3\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-02-10 18:24:25,109 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovering pageFile free list due to prior unclean shutdown.. | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2022-02-10 18:24:25,115 | INFO  | Page File: ..\..\data\kahadb\db.data. Recovered pageFile free list of size: 0 | org.apache.activemq.store.kahadb.disk.page.PageFile | KahaDB Index Free Page Recovery
2022-02-10 18:24:25,117 | INFO  | KahaDB is version 7 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
